task_id,microservice_id,instructions,bytes,dependencies,storage_req,status,arrival_time,start_time,latency,wait_time,service_time,response_time,spin_up_delay,end_time,deadline,assigned_resource,nearest_resource,resource_IPT,resource_storage
10,33,2422.973694,50.15315017,,42.29205227,completed,960,976.1390080544,16.1390080544,4.973799150320701e-14,0.04845947387999999,32.32647558268013,0.0,976.1874675282801,1092,CentralCloud(4),Edge_cloud(3),50000,1000000
10,34,4390.857125,872.88175,33,14.93166466,rejected,960,,0,0,0,0,0,,1092,,Edge_cloud(3),,
11,35,1430.011235,264.127286,,36.01989496,completed,1020,1062.4826675888,42.482667588800005,3.552713678800501e-14,13.000102136363635,97.96543731396378,0.0,1075.4827697251637,1141,Edge_cloud(0),Edge_cloud(0),110,64
11,36,118.1417935,668.639181,,28.82409857,completed,1020,1127.5281803048001,107.5281803048,1.1368683772161603e-13,0.040738549482758624,215.09709915908297,0.0,1127.5689188542829,1141,Edge_cloud(2),Edge_cloud(0),2900,32
12,37,896.5499091,802.3513302,,48.87489893,completed,1080,1209.02909389616,129.02909389616,2.842170943040401e-14,0.3091551410689655,258.36734293338895,0.0,1209.338249037229,1214,Edge_cloud(1),Edge_cloud(1),2900,64
12,38,1812.661726,666.0378679,37,14.36831078,completed,1080,1209.3408354372289,107.10988915832002,22.230946278908846,0.4899085745945946,236.94063317014343,1209.3408354372289,1209.8307440118235,1214,Edge_cloud(3),Edge_cloud(1),3700,64
13,39,1647.033536,101.3619442,,8.760278006,completed,1140,1156.31000062736,16.31000062736,6.750155989720952e-14,0.4451441989189189,33.06514545363916,0.0,1156.755144826279,1296,Edge_cloud(3),Edge_cloud(2),3700,64
13,40,3977.678304,600.3583037,,3.549854047,completed,1140,1236.54861523496,96.54861523496,0,36.160711854545454,229.25794232446538,0.0,1272.7093270895055,1296,Edge_cloud(0),Edge_cloud(2),110,64
13,41,3434.747264,554.0878202,40,12.80702345,completed,1140,1272.7118494895055,89.10832148816,43.60352800134554,1.184395608275862,223.00456658594157,1272.7118494895055,1273.8962450977815,1296,Edge_cloud(1),Edge_cloud(2),2900,64
13,42,1567.825966,901.3180554,,34.51947343,rejected,1140,,0,0,0,0,0.0,,1296,,Edge_cloud(2),,
13,43,2342.944704,410.1973323,40,5.177653007,completed,1140,1272.7117990895053,65.97073103384001,66.74106805566534,0.8079119668965518,199.4904420902419,1272.7117990895053,1273.519711056402,1296,Edge_cloud(2),Edge_cloud(2),2900,32
14,44,568.2396094,327.8702861,,12.99039041,completed,1290,1342.73254200488,52.732542004879996,9.237055564881302e-14,0.1959446928965517,105.66102870265672,0.0,1342.9284866977766,1421,Edge_cloud(2),Edge_cloud(3),2900,32
14,45,4500.91758,752.3522568,44,42.91011004,completed,1290,1410.98924289344,120.98924289344001,0,1.5520405448275862,243.5305263317075,1342.9310666977767,1412.5412834382676,1421,Edge_cloud(1),Edge_cloud(3),2900,64
15,46,4683.58164,418.5485728,,29.56469452,completed,1350,1484.025543296,134.025543296,2.842170943040401e-14,0.0936716328,268.14475822479994,0.0,1484.1192149288,1490,CentralCloud(4),Edge_cloud(1),50000,1000000
15,47,4901.037323,649.6352133,46,4.406555472,completed,1350,1484.4433749287998,104.47234229864002,29.971032630159797,1.69001287,240.60573009743985,1484.4433749287998,1486.1333877987997,1490,Edge_cloud(1),Edge_cloud(1),2900,64
